打电话,39.889458318394944,neg,3,l
至今,38.82409531846815,neg,2,d
接,38.20629127402952,neg,1,v
马上,37.9958283989102,neg,2,d
没人接,37.211501525016644,neg,3,v
软件,37.03161343745872,neg,2,n
订单,36.486350734891715,neg,2,n
单子,36.27420233878338,neg,2,n
人理,35.471088912395345,neg,2,n
问,34.71729423341921,neg,1,n
操作,34.67014769899649,neg,2,v
挂断,34.27977480224434,neg,2,v
补送,34.10360223992635,neg,2,v
小心,33.87577340081126,neg,2,n
联系,32.85016401645992,neg,2,n
确认,32.67930225918668,neg,2,v
不通,32.525448202212736,neg,2,a
回来,31.774708357580444,neg,2,v
投诉,31.33921158375845,neg,2,v
任何,31.248587009016152,neg,2,r
不了,31.146087530846202,neg,2,v
过去,30.618309468951082,neg,2,t
催单,30.363809575257513,neg,2,n
给予,30.12958005732585,neg,2,v
显示,30.116498486772358,neg,2,v
完成,29.842903372256192,neg,2,v
网上,29.74536461525296,neg,2,s
照单全收,29.367228341116554,neg,4,n
差劲,29.171995007715545,neg,2,n
后,28.89158083342341,neg,1,f
尼玛,28.839592256913477,neg,2,nrt
这时候,28.803758480579276,neg,3,r
总之,28.501226312011948,neg,2,c
歉意,28.20928194287775,neg,2,n
通知,28.17487120532462,neg,2,v
撒,28.0060344841143,neg,1,v
补偿,27.981492013884186,neg,2,vn
叫,27.930722345990677,neg,1,v
对方,27.70075560631694,neg,2,n
电话,27.6603625530068,neg,2,n
解决,27.56323477195799,neg,2,v
客服,27.424928722091572,neg,2,n
说完,27.356693352145395,neg,2,v
推脱,27.220679677763613,neg,2,v
售后,27.203884435220637,neg,2,n
于是,27.175670312820188,neg,2,c
未,27.160427958524302,neg,1,d
后来,26.73576270677666,neg,2,t
咖啡,26.46773840323053,neg,2,n
不想,26.42985749397157,neg,2,v
以及,26.339979764577762,neg,2,c
让,26.26624246903935,neg,1,v
然后,25.876995251459448,neg,2,c
退款,25.810344571934507,neg,2,v
没人管,25.71576114922026,neg,3,l
退掉,25.51660596515478,neg,2,v
告知,25.490405387719115,neg,2,v
不好,25.48723281305599,neg,2,d
分才,25.406898486546574,neg,2,d
坑,25.343045430511584,neg,1,n
听,25.33655742627561,neg,1,v
重新,25.16862630535872,neg,2,a
反倒,25.0496618857737,neg,2,v
餐,25.028746507826526,neg,1,n
餐厅,25.01628564043235,neg,2,n
无,25.01266462503809,neg,1,v
了送,24.972340315514657,neg,2,v
傻子,24.747218893296196,neg,2,n
她,24.60924612412307,neg,1,r
踏进,24.584580363154572,neg,2,v
没人来,24.545836147777948,neg,3,l
使用,24.53062853202165,neg,2,v
反应,24.424020267525954,neg,2,vn
接电话,24.35387833653834,neg,3,l
推来推去,24.220679677763613,neg,4,i
自动,23.938840837259495,neg,2,vn
号码,23.86776424266531,neg,2,n
主动,23.710904673436673,neg,2,b
个菜,23.695622157481644,neg,2,n
竟然,23.607470466562987,neg,2,d
打,23.60181517621008,neg,1,v
更是,23.554019030634706,neg,2,d
开始,23.55296163866089,neg,2,v
体验,23.541097605167224,neg,2,n
钱,23.41775707158395,neg,1,n
态度恶劣,23.329975776900433,neg,4,n
线,23.299701753691544,neg,1,n
垃圾,23.263533088021575,neg,2,n
无耻,23.21794764959027,neg,2,a
故意,23.157165647093812,neg,2,d
